0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2012-04-09,2012-04-16,2012-04-23,2012-04-30,2012-05-07,2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01
2012-04-16,2012-04-23,2012-04-30,2012-05-07,2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08
2012-04-23,2012-04-30,2012-05-07,2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15
2012-04-30,2012-05-07,2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22
2012-05-07,2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29
2012-05-14,2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05
2012-05-21,2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12
2012-05-28,2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19
2012-06-04,2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26
2012-06-11,2012-06-18,2012-06-25,2012-07-02,2012-07-09,2012-07-16,2012-07-23,2012-07-30,2012-08-06,2012-08-13,2012-08-20,2012-08-27,2012-09-03,2012-09-10,2012-09-17,2012-09-24,2012-10-01,2012-10-08,2012-10-15,2012-10-22,2012-10-29,2012-11-05,2012-11-12,2012-11-19,2012-11-26,2012-12-03
