0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.02,0.02,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.0
0.02,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.02
0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.02
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.1
0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0
0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.03
0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.0
0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.03
0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.07
0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,0.53
0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.21
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,1.74
0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,2.66
0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,3.66
0.0,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,4.02
0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,3.4
0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,2.59,2.59
0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,2.59,1.33,1.33
0.03,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,2.59,1.33,1.03,1.03
0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,2.59,1.33,1.03,0.9,0.9
0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.0,0.03,0.07,0.53,1.21,1.74,2.66,3.66,4.02,3.4,2.59,1.33,1.03,0.9,0.56,0.56
