0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.13,0.16,0.1,0.1,0.09,0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.1,0.1,0.09,0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.09,0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09,0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04
0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.05
0.01,0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.09
0.03,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.08
0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.28
0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.33
0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.59
0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.24
0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,0.72
0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.14
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,1.63
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,3.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,4.72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,5.92,5.92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,5.92,6.37,6.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,5.92,6.37,7.49,7.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,5.92,6.37,7.49,8.38,8.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.08,0.28,0.33,0.59,0.24,0.72,1.14,1.63,3.22,4.72,5.92,6.37,7.49,8.38,6.41,6.41
